Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
MP70620,18,B,1,0,0,0,1,0,0,0,0,0,0,2,446,564,13,18,801,C. i,finetooth,WH
MP70620,18,DF,0,0,0,0,0,0,0,0,0,0,0,0,446,564,13,18,801,C. i,finetooth,WH
MP70620,21,S,0,1,0,0,0,0,0,0,0,0,0,1,431,577,22,15,667,S. l,hammer head,WH
MP70620,21,V,0,0,0,0,0,1,0,0,0,0,0,1,431,577,22,15,667,S. l,hammer head,WH
MP70620,21,B,0,0,0,0,0,0,0,0,0,0,0,0,431,577,22,15,667,S. l,hammer head,WH
MP70620,21,DF,0,0,0,0,0,0,0,0,0,0,0,0,431,577,22,15,667,S. l,hammer head,WH
MP70620,22,S,0,0,0,0,0,0,0,0,0,0,0,0,420,560,23,22,713,S. l,hammer head,WH
MP70620,22,V,0,0,0,0,0,0,0,0,0,0,0,0,420,560,23,22,713,S. l,hammer head,WH
MP70620,22,B,1,0,0,0,0,0,0,0,0,0,0,1,420,560,23,22,713,S. l,hammer head,WH
MP70620,22,DF,0,0,0,0,0,0,0,0,0,0,0,0,420,560,23,22,713,S. l,hammer head,WH
MP70620,23,S,0,0,0,0,0,0,0,0,0,0,0,0,268,333,4,3,129,R. t,sharpnose,WH
MP70620,23,V,0,0,0,0,0,0,0,0,0,0,0,0,268,333,4,3,129,R. t,sharpnose,WH
